cell_line_name,compound_name,ec50,slope,upper_asymptote,lower_asymptote
CADOES1_BONE,BRD:BRD-K66175015-001-09-0,0.5,-1,2,1
HS294T_SKIN,BRD:BRD-K66175015-001-09-0,0.25,-2,0.9,0.2
WM115_SKIN,BRD:BRD-K66175015-001-09-0,0.2,-1.5,4,2
EWS502_BONE,BRD:BRD-K66175015-001-09-0,0.1,-0.75,0.5,0
A673_BONE,BRD:BRD-K66175015-001-09-0,0.5,-1,2,1
HT29_LARGE_INTESTINE,BRD:BRD-K66175015-001-09-0,0.25,-2,0.9,0.2
A2058_SKIN,BRD:BRD-K66175015-001-09-0,0.2,-1.5,4,2
C32_SKIN,BRD:BRD-K66175015-001-09-0,0.1,-0.75,0.5,0
143B_BONE,BRD:BRD-K66175015-001-09-0,0.5,-1,2,1
CJM_SKIN,BRD:BRD-K66175015-001-09-0,0.25,-2,0.9,0.2
COLO679_SKIN,BRD:BRD-K66175015-001-09-0,0.2,-1.5,4,2
EKVX_LUNG,BRD:BRD-K66175015-001-09-0,0.1,-0.75,0.5,0
EPLC272H_LUNG,BRD:BRD-K66175015-001-09-0,0.5,-1,2,1
UACC62_SKIN,BRD:BRD-K66175015-001-09-0,0.25,-2,0.9,0.2
SKMEL30_SKIN,BRD:BRD-K66175015-001-09-0,0.2,-1.5,4,2
WM88_SKIN,BRD:BRD-K66175015-001-09-0,0.1,-0.75,0.5,0
PETA_SKIN,BRD:BRD-K66175015-001-09-0,0.5,-1,2,1
TC32_BONE,BRD:BRD-K66175015-001-09-0,0.25,-2,0.9,0.2
SH4_SKIN,BRD:BRD-K66175015-001-09-0,0.2,-1.5,4,2
