term,gene,term_short
"HALLMARK HEME METABOLISM
",KDM7A,HEME METABOLISM
"HALLMARK KRAS SIGNALING
 DN",SOX10,KRAS SIGNALING DN
"KEGG STARCH AND
 SUCROSE METABOLISM",AMY1A,STARCH AND SUCROSE MET...
"KEGG MAPK SIGNALING
 PATHWAY",NRAS,MAPK SIGNALING PATHWAY
"KEGG MAPK SIGNALING
 PATHWAY",MAP4K4,MAPK SIGNALING PATHWAY
"KEGG ERBB SIGNALING
 PATHWAY",NRAS,ERBB SIGNALING PATHWAY
"KEGG CHEMOKINE SIGNALING
 PATHWAY",NRAS,CHEMOKINE SIGNALING PA...
"KEGG AXON GUIDANCE
",NRAS,AXON GUIDANCE
"KEGG VEGF SIGNALING
 PATHWAY",NRAS,VEGF SIGNALING PATHWAY
"KEGG TIGHT JUNCTION
",NRAS,TIGHT JUNCTION
"KEGG GAP JUNCTION
",NRAS,GAP JUNCTION
"KEGG NATURAL KILLER
 CELL MEDIATED CYTOTOXICITY
",NRAS,NATURAL KILLER CELL ME...
"KEGG T CELL
 RECEPTOR SIGNALING PATHWAY
",NRAS,T CELL RECEPTOR SIGNAL...
"KEGG B CELL
 RECEPTOR SIGNALING PATHWAY
",NRAS,B CELL RECEPTOR SIGNAL...
"KEGG FC EPSILON
 RI SIGNALING PATHWAY
",NRAS,FC EPSILON RI SIGNALIN...
"KEGG LONG TERM
 POTENTIATION",NRAS,LONG TERM POTENTIATION
"KEGG NEUROTROPHIN SIGNALING
 PATHWAY",NRAS,NEUROTROPHIN SIGNALING...
"KEGG LONG TERM
 DEPRESSION",NRAS,LONG TERM DEPRESSION
"KEGG REGULATION OF
 ACTIN CYTOSKELETON",NRAS,REGULATION OF ACTIN CY...
"KEGG INSULIN SIGNALING
 PATHWAY",NRAS,INSULIN SIGNALING PATH...
"KEGG GNRH SIGNALING
 PATHWAY",NRAS,GNRH SIGNALING PATHWAY
KEGG MELANOGENESIS,NRAS,MELANOGENESIS
"KEGG MATURITY ONSET
 DIABETES OF THE
 YOUNG",HNF1B,MATURITY ONSET DIABETE...
"KEGG PATHWAYS IN
 CANCER",NRAS,PATHWAYS IN CANCER
"KEGG RENAL CELL
 CARCINOMA",NRAS,RENAL CELL CARCINOMA
"KEGG ENDOMETRIAL CANCER
",NRAS,ENDOMETRIAL CANCER
KEGG GLIOMA,NRAS,GLIOMA
"KEGG PROSTATE CANCER
",NRAS,PROSTATE CANCER
"KEGG THYROID CANCER
",NRAS,THYROID CANCER
KEGG MELANOMA,NRAS,MELANOMA
"KEGG BLADDER CANCER
",NRAS,BLADDER CANCER
"KEGG CHRONIC MYELOID
 LEUKEMIA",NRAS,CHRONIC MYELOID LEUKEMIA
"KEGG ACUTE MYELOID
 LEUKEMIA",NRAS,ACUTE MYELOID LEUKEMIA
"KEGG NON SMALL
 CELL LUNG CANCER
",NRAS,NON SMALL CELL LUNG CA...
"BIOCARTA CARM ER
 PATHWAY",MED1,CARM ER PATHWAY
"BIOCARTA VDR PATHWAY
",MED1,VDR PATHWAY
"BIOCARTA MAPK PATHWAY
",MAP4K4,MAPK PATHWAY
"BIOCARTA PPARA PATHWAY
",MED1,PPARA PATHWAY
"BIOCARTA PITX2 PATHWAY
",MED1,PITX2 PATHWAY
"PID GMCSF PATHWAY
",NRAS,GMCSF PATHWAY
"PID TCR PATHWAY
",NRAS,TCR PATHWAY
"PID ER NONGENOMIC
 PATHWAY",NRAS,ER NONGENOMIC PATHWAY
"PID AR PATHWAY
",MED1,AR PATHWAY
"PID EPHB FWD
 PATHWAY",MAP4K4,EPHB FWD PATHWAY
"PID EPHB FWD
 PATHWAY",NRAS,EPHB FWD PATHWAY
"PID CD8 TCR
 PATHWAY",NRAS,CD8 TCR PATHWAY
"PID SHP2 PATHWAY
",NRAS,SHP2 PATHWAY
"PID HNF3B PATHWAY
",HNF1B,HNF3B PATHWAY
"PID MTOR 4PATHWAY
",NRAS,MTOR 4PATHWAY
"PID IL2 1PATHWAY
",NRAS,IL2 1PATHWAY
"PID ERBB1 RECEPTOR
 PROXIMAL PATHWAY",NRAS,ERBB1 RECEPTOR PROXIMA...
"PID TNF PATHWAY
",MAP4K4,TNF PATHWAY
"PID TCR RAS
 PATHWAY",NRAS,TCR RAS PATHWAY
"PID PI3KCI PATHWAY
",NRAS,PI3KCI PATHWAY
"PID CERAMIDE PATHWAY
",MAP4K4,CERAMIDE PATHWAY
"PID P53 DOWNSTREAM
 PATHWAY",MAP4K4,P53 DOWNSTREAM PATHWAY
"PID RXR VDR
 PATHWAY",MED1,RXR VDR PATHWAY
"PID ERBB1 DOWNSTREAM
 PATHWAY",NRAS,ERBB1 DOWNSTREAM PATHWAY
"PID ERBB2 ERBB3
 PATHWAY",NRAS,ERBB2 ERBB3 PATHWAY
"PID PDGFRB PATHWAY
",NRAS,PDGFRB PATHWAY
"PID TRKR PATHWAY
",NRAS,TRKR PATHWAY
"PID CMYB PATHWAY
",NRAS,CMYB PATHWAY
"PID ERA GENOMIC
 PATHWAY",MED1,ERA GENOMIC PATHWAY
"PID ERBB1 INTERNALIZATION
 PATHWAY",NRAS,ERBB1 INTERNALIZATION ...
"PID CXCR3 PATHWAY
",NRAS,CXCR3 PATHWAY
"PID RAS PATHWAY
",NRAS,RAS PATHWAY
"PID MAPK TRK
 PATHWAY",NRAS,MAPK TRK PATHWAY
"PID PI3K PLC
 TRK PATHWAY",NRAS,PI3K PLC TRK PATHWAY
"PID CD8 TCR
 DOWNSTREAM PATHWAY",NRAS,CD8 TCR DOWNSTREAM PAT...
"REACTOME SIGNALING BY
 SCF KIT",NRAS,SIGNALING BY SCF KIT
"REACTOME DEVELOPMENTAL BIOLOGY
",MED1,DEVELOPMENTAL BIOLOGY
"REACTOME DEVELOPMENTAL BIOLOGY
",NRAS,DEVELOPMENTAL BIOLOGY
"REACTOME DEVELOPMENTAL BIOLOGY
",HNF1B,DEVELOPMENTAL BIOLOGY
"REACTOME SIGNALING BY
 ERBB4",NRAS,SIGNALING BY ERBB4
"REACTOME SIGNALING BY
 ERBB2",NRAS,SIGNALING BY ERBB2
"REACTOME GRB2 EVENTS
 IN ERBB2 SIGNALING
",NRAS,GRB2 EVENTS IN ERBB2 S...
"REACTOME SIGNALING BY
 EGFR IN CANCER
",NRAS,SIGNALING BY EGFR IN C...
"REACTOME SHC1 EVENTS
 IN ERBB4 SIGNALING
",NRAS,SHC1 EVENTS IN ERBB4 S...
"REACTOME TRAFFICKING AND
 PROCESSING OF ENDOSOMAL
 TLR",UNC93B1,TRAFFICKING AND PROCES...
"REACTOME DOWNSTREAM SIGNALING
 EVENTS OF B
 CELL RECEPTOR BCR
",NRAS,DOWNSTREAM SIGNALING E...
"REACTOME SIGNALING BY
 THE B CELL
 RECEPTOR BCR",NRAS,SIGNALING BY THE B CEL...
"REACTOME INSULIN RECEPTOR
 SIGNALLING CASCADE",NRAS,INSULIN RECEPTOR SIGNA...
"REACTOME SIGNALLING TO
 RAS",NRAS,SIGNALLING TO RAS
"REACTOME CELL SURFACE
 INTERACTIONS AT THE
 VASCULAR WALL",NRAS,CELL SURFACE INTERACTI...
"REACTOME CELL SURFACE
 INTERACTIONS AT THE
 VASCULAR WALL",PSG7,CELL SURFACE INTERACTI...
"REACTOME SIGNALLING TO
 ERKS",NRAS,SIGNALLING TO ERKS
"REACTOME P38MAPK EVENTS
",NRAS,P38MAPK EVENTS
"REACTOME SIGNALING BY
 FGFR IN DISEASE
",NRAS,SIGNALING BY FGFR IN D...
"REACTOME GASTRIN CREB
 SIGNALLING PATHWAY VIA
 PKC AND MAPK
",NRAS,GASTRIN CREB SIGNALLIN...
"REACTOME SHC1 EVENTS
 IN EGFR SIGNALING
",NRAS,SHC1 EVENTS IN EGFR SI...
"REACTOME TIE2 SIGNALING
",NRAS,TIE2 SIGNALING
