,term,gene,term_short
201,HALLMARK HYPOXIA,PGK1,HYPOXIA
202,HALLMARK HYPOXIA,PDK1,HYPOXIA
203,HALLMARK HYPOXIA,GBE1,HYPOXIA
204,HALLMARK HYPOXIA,PFKL,HYPOXIA
205,HALLMARK HYPOXIA,ALDOA,HYPOXIA
206,HALLMARK HYPOXIA,ENO2,HYPOXIA
207,HALLMARK HYPOXIA,PGM1,HYPOXIA
208,HALLMARK HYPOXIA,NDRG1,HYPOXIA
209,HALLMARK HYPOXIA,HK2,HYPOXIA
210,HALLMARK HYPOXIA,ALDOC,HYPOXIA
211,HALLMARK HYPOXIA,GPI,HYPOXIA
212,HALLMARK HYPOXIA,MXI1,HYPOXIA
213,HALLMARK HYPOXIA,SLC2A1,HYPOXIA
214,HALLMARK HYPOXIA,P4HA1,HYPOXIA
215,HALLMARK HYPOXIA,ADM,HYPOXIA
216,HALLMARK HYPOXIA,P4HA2,HYPOXIA
217,HALLMARK HYPOXIA,ENO1,HYPOXIA
218,HALLMARK HYPOXIA,PFKP,HYPOXIA
219,HALLMARK HYPOXIA,AK4,HYPOXIA
220,HALLMARK HYPOXIA,FAM162A,HYPOXIA
221,HALLMARK HYPOXIA,PFKFB3,HYPOXIA
222,HALLMARK HYPOXIA,VEGFA,HYPOXIA
223,HALLMARK HYPOXIA,BNIP3L,HYPOXIA
224,HALLMARK HYPOXIA,TPI1,HYPOXIA
225,HALLMARK HYPOXIA,ERO1A,HYPOXIA
226,HALLMARK HYPOXIA,KDM3A,HYPOXIA
227,HALLMARK HYPOXIA,CCNG2,HYPOXIA
228,HALLMARK HYPOXIA,LDHA,HYPOXIA
229,HALLMARK HYPOXIA,GYS1,HYPOXIA
230,HALLMARK HYPOXIA,GAPDH,HYPOXIA
231,HALLMARK HYPOXIA,BHLHE40,HYPOXIA
232,HALLMARK HYPOXIA,ANGPTL4,HYPOXIA
233,HALLMARK HYPOXIA,JUN,HYPOXIA
234,HALLMARK HYPOXIA,SERPINE1,HYPOXIA
235,HALLMARK HYPOXIA,LOX,HYPOXIA
236,HALLMARK HYPOXIA,GCK,HYPOXIA
237,HALLMARK HYPOXIA,PPFIA4,HYPOXIA
238,HALLMARK HYPOXIA,MAFF,HYPOXIA
239,HALLMARK HYPOXIA,DDIT4,HYPOXIA
240,HALLMARK HYPOXIA,SLC2A3,HYPOXIA
241,HALLMARK HYPOXIA,IGFBP3,HYPOXIA
242,HALLMARK HYPOXIA,NFIL3,HYPOXIA
243,HALLMARK HYPOXIA,FOS,HYPOXIA
244,HALLMARK HYPOXIA,RBPJ,HYPOXIA
245,HALLMARK HYPOXIA,HK1,HYPOXIA
246,HALLMARK HYPOXIA,CITED2,HYPOXIA
247,HALLMARK HYPOXIA,ISG20,HYPOXIA
248,HALLMARK HYPOXIA,GALK1,HYPOXIA
249,HALLMARK HYPOXIA,WSB1,HYPOXIA
250,HALLMARK HYPOXIA,PYGM,HYPOXIA
251,HALLMARK HYPOXIA,STC1,HYPOXIA
252,HALLMARK HYPOXIA,ZNF292,HYPOXIA
253,HALLMARK HYPOXIA,BTG1,HYPOXIA
254,HALLMARK HYPOXIA,PLIN2,HYPOXIA
255,HALLMARK HYPOXIA,CSRP2,HYPOXIA
256,HALLMARK HYPOXIA,VLDLR,HYPOXIA
257,HALLMARK HYPOXIA,JMJD6,HYPOXIA
258,HALLMARK HYPOXIA,EXT1,HYPOXIA
259,HALLMARK HYPOXIA,F3,HYPOXIA
260,HALLMARK HYPOXIA,PDK3,HYPOXIA
261,HALLMARK HYPOXIA,ANKZF1,HYPOXIA
262,HALLMARK HYPOXIA,UGP2,HYPOXIA
263,HALLMARK HYPOXIA,ALDOB,HYPOXIA
