cell_line,CI.05,CI.95,mean,penetrance,tissue,depmap_id
SH4_SKIN,-2.068430527,-1.596927275,-1.782681114,0.6428571429,all5,ACH-000441
COLO679_SKIN,-3.737145442,-3.737145442,-3.737145442,0.0,all5,ACH-000805
A2058_SKIN,1.4035022469999998,1.6987786740000002,1.5647434880000002,1.0,all5,ACH-000788
CADOES1_BONE,-0.12919776119999998,0.4457404811,0.2329572927,0.8571428570999999,all5,ACH-000210
SKMEL30_SKIN,-2.515388094,-1.341094849,-1.659823092,0.3571428571,all5,ACH-000810
HT29_LARGE_INTESTINE,-0.1443043605,0.4257575096,0.2036277933,1.0,all5,ACH-000552
CJM_SKIN,-2.266166997,-1.447974439,-1.714780584,0.3571428571,all5,ACH-000458
A673_BONE,0.974778012,1.369931255,1.20733428,1.0,all5,ACH-000052
WM88_SKIN,-1.17889254,0.9968405244,0.5301688605,0.7857142856999999,all5,ACH-000899
UACC62_SKIN,-0.5453200883,0.3197787304,0.02396935882,0.7142857143000001,all5,ACH-000425
HS294T_SKIN,-1.161785131,-0.3733241335,-0.6373375304,0.7857142856999999,all5,ACH-000014
EWS502_BONE,-3.5139973810000003,-3.5139973810000003,-3.5139973810000003,0.0,all5,ACH-000279
SH4_SKIN,-3.592183472,-3.592183472,-3.592183472,0.0,bone,ACH-000441
COLO679_SKIN,-3.737145442,-3.737145442,-3.737145442,0.0,bone,ACH-000805
A2058_SKIN,0.8054811948,1.245316892,1.074486897,1.0,bone,ACH-000788
CADOES1_BONE,-3.60886147,-2.084480181,-2.459508507,0.2142857143,bone,ACH-000210
SKMEL30_SKIN,-3.788766207,-3.788766207,-3.788766207,0.0,bone,ACH-000810
HT29_LARGE_INTESTINE,-1.5671026069999998,0.2887705227,-0.03731919203,0.5,bone,ACH-000552
CJM_SKIN,-3.484846683,-3.484846683,-3.484846683,0.0,bone,ACH-000458
A673_BONE,-1.104333235,0.3784697381,0.07344480871,0.9285714286,bone,ACH-000052
WM88_SKIN,-1.472553211,0.9940920523,0.524861815,0.5714285714,bone,ACH-000899
UACC62_SKIN,-2.603332156,-0.1598270511,-0.5539352486,0.2142857143,bone,ACH-000425
HS294T_SKIN,-3.863945155,-1.050518248,-1.5263068380000002,0.07142857142999999,bone,ACH-000014
EWS502_BONE,-3.5139973810000003,-3.5139973810000003,-3.5139973810000003,0.0,bone,ACH-000279
SH4_SKIN,-3.592183472,-3.078572502,-3.3480751410000003,0.07142857142999999,brain,ACH-000441
COLO679_SKIN,-3.737145442,-3.737145442,-3.737145442,0.0,brain,ACH-000805
A2058_SKIN,-0.6199311537,1.293832901,0.9488264658,1.0,brain,ACH-000788
CADOES1_BONE,-3.520081704,-1.30836464,-1.769950193,0.2857142857,brain,ACH-000210
SKMEL30_SKIN,-3.788766207,-3.788766207,-3.788766207,0.0,brain,ACH-000810
HT29_LARGE_INTESTINE,-1.417221969,-0.7194650484999999,-0.977841522,0.5,brain,ACH-000552
CJM_SKIN,-3.484846683,-3.484846683,-3.484846683,0.0,brain,ACH-000458
A673_BONE,-2.574760182,-0.8259074819,-1.161260527,0.4285714286,brain,ACH-000052
WM88_SKIN,-3.922012788,-3.074776814,-3.31808153,0.14285714289999998,brain,ACH-000899
UACC62_SKIN,-3.238753795,-2.725142825,-2.994645464,0.07142857142999999,brain,ACH-000425
HS294T_SKIN,-3.863945155,-0.5863147154999999,-1.062977876,0.07142857142999999,brain,ACH-000014
EWS502_BONE,-3.5139973810000003,-3.5139973810000003,-3.5139973810000003,0.0,brain,ACH-000279
SH4_SKIN,-3.592183472,-3.592183472,-3.592183472,0.0,kidney,ACH-000441
COLO679_SKIN,-3.737145442,-3.737145442,-3.737145442,0.0,kidney,ACH-000805
A2058_SKIN,-0.1392285247,0.3165917381,0.1332010567,1.0,kidney,ACH-000788
CADOES1_BONE,-2.985445375,-0.9525152001,-1.3695976909999998,0.2857142857,kidney,ACH-000210
SKMEL30_SKIN,-3.788766207,-1.598723805,-1.922497586,0.14285714289999998,kidney,ACH-000810
HT29_LARGE_INTESTINE,-3.285092339,-1.992947794,-2.365354012,0.2142857143,kidney,ACH-000552
CJM_SKIN,-3.484846683,-2.802194225,-3.128462394,0.07142857142999999,kidney,ACH-000458
A673_BONE,-1.211770503,-0.7103598673999999,-0.9119076192,0.9285714286,kidney,ACH-000052
WM88_SKIN,-3.922012788,-1.290214272,-1.761478862,0.14285714289999998,kidney,ACH-000899
UACC62_SKIN,-3.238753795,-1.074419786,-1.5132763130000002,0.14285714289999998,kidney,ACH-000425
HS294T_SKIN,-3.863945155,-1.472178041,-1.787361849,0.14285714289999998,kidney,ACH-000014
EWS502_BONE,-3.5139973810000003,-3.5139973810000003,-3.5139973810000003,0.0,kidney,ACH-000279
SH4_SKIN,-3.592183472,-3.592183472,-3.592183472,0.0,liver,ACH-000441
COLO679_SKIN,-3.737145442,-3.737145442,-3.737145442,0.0,liver,ACH-000805
A2058_SKIN,0.9173843393,1.183411194,1.065499153,1.0,liver,ACH-000788
CADOES1_BONE,-0.21176639100000005,0.4136138427,0.1873926705,0.7857142856999999,liver,ACH-000210
SKMEL30_SKIN,-3.788766207,-3.788766207,-3.788766207,0.0,liver,ACH-000810
HT29_LARGE_INTESTINE,-2.127724275,-1.34410353,-1.621422393,0.5714285714,liver,ACH-000552
CJM_SKIN,-3.484846683,-1.929127261,-2.382736712,0.07142857142999999,liver,ACH-000458
