BroadID,PearsonScore,ModelType,TopBiomarker,Name,Synonyms,DiseaseArea,MOA,Target,ClinicalPhase,BimodalityCoefficient,NumberOfSensitiveLines,Dose
BRD-A00047421-001-01-7,0.2822493835935298,Core_omics,FAM71D_(161142)_RNAseq,ARV-825,,,BROMODOMAIN INHIBITOR,BRD4,,0.3709709137889355,544,2.5
BRD-A00055058-001-01-0,0.0901407664973374,Core_omics,DLC1_(10395)_RNAseq,RS-0481,,,IMMUNOSTIMULANT,,PHASE 2,0.3415733027806637,0,
BRD-A00077618-236-07-6,0.0411350437199102,Core_omics,ADGRA2_(25960)_RNAseq,8-BROMO-CGMP,,,PKA ACTIVATOR,PRKG1,PRECLINICAL,0.2650558003433741,2,
BRD-A00092689-236-04-9,-0.041040643302665,DNA_based,MIR5571_(100847006)_CN,DOCUSATE,,,LAXATIVE,,,0.2169269467179559,3,2.5
BRD-A00100033-001-08-9,0.0418361878929654,DNA_based,MIR4765_(100616219)_CN,NIFURTIMOX,,,DNA INHIBITOR,,LAUNCHED,0.2857917737642361,0,
BRD-A00147595-001-01-5,0.1567344073879234,Extended_omics,PLK1_(5347)_RNAseq,BALAGLITAZONE,,,"INSULIN SENSITIZER, PPAR RECEPTOR PARTIAL AGONIST",PPARG,PHASE 3,0.2504191135841907,1,
BRD-A00218260-001-03-4,0.0551357947728577,Extended_omics,SLC38A1_(81539)_RNAseq,FLUTRIMAZOLE,,,STEROL DEMETHYLASE INHIBITOR,,LAUNCHED,0.2809634202987243,0,
BRD-A00376169-001-01-6,0.0998251448798062,Extended_omics,CADM4_(199731)_RNAseq,KBG,,,NEPRILYSIN INHIBITOR,MME,PHASE 2,0.2731008727082938,0,
BRD-A00520476-001-07-4,0.0282018984688507,Core_omics,KRBOX1_(100506243)_RNAseq,OTENZEPAD,,,ACETYLCHOLINE RECEPTOR ANTAGONIST,CHRM1;CHRM2;CHRM3;CHRM4;CHRM5,PHASE 3,0.3036542792628586,0,
BRD-A00546892-001-02-6,0.0621910883042545,Extended_omics,TMEM120B_(144404)_RNAseq,BIPERIDEN,,,ACETYLCHOLINE RECEPTOR ANTAGONIST,CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;CHRNA2,LAUNCHED,0.2606508336384673,0,
BRD-A00559310-003-01-1,0.1296376610680933,Extended_omics,ALG11_(440138)_RNAseq,W-54011,,,ANAPHYLATOXIN CHEMOTACTIC RECEPTOR ANTAGONIST,C5AR1,,0.1964300287075341,4,2.5
BRD-A00578795-001-04-3,0.0636136570340292,Extended_omics,AKR7A2_(8574)_RNAseq,ZALTOPROFEN,,,CYCLOOXYGENASE INHIBITOR,,LAUNCHED,0.2634978828157601,3,
BRD-A00758722-001-04-9,-0.006325637129434,Extended_omics,CISD1_(55847)_RNAseq,NORETYNODREL,,,PROGESTOGEN HORMONE,PGR,LAUNCHED,0.2412762278139157,39,
BRD-A00827783-001-24-6,0.1095372396110113,Extended_omics,CCNQ_(92002)_RNAseq,DYPHYLLINE,,,"ADENOSINE RECEPTOR ANTAGONIST, PHOSPHODIESTERASE INHIBITOR",ADORA1;ADORA2A;PDE3A;PDE4A;PDE4B;PDE4C;PDE4D;PDE7A;PDE7B,LAUNCHED,0.2582559223549989,0,
