,cell_line,rank,gene
0,HS294T_SKIN,0,SOX10 (6663)
1,A2058_SKIN,0,SOX10 (6663)
2,C32_SKIN,0,MED1 (5469)
3,143B_BONE,0,AMY1A (276)
4,CJM_SKIN,0,PSG7 (5676)
5,COLO679_SKIN,0,SWI5 (375757)
6,EKVX_LUNG,0,HNF1B (6928)
7,EPLC272H_LUNG,0,AMY1A (276)
8,UACC62_SKIN,0,MED1 (5469)
9,SKMEL30_SKIN,0,NRAS (4893)
10,WM115_SKIN,0,SOX10 (6663)
11,HS294T_SKIN,1,KDM7A (80853)
12,A2058_SKIN,1,MED1 (5469)
13,C32_SKIN,1,MAP4K4 (9448)
14,143B_BONE,1,PSG7 (5676)
15,CJM_SKIN,1,ANOS1 (3730)
16,COLO679_SKIN,1,PSG7 (5676)
17,EKVX_LUNG,1,PSG7 (5676)
18,EPLC272H_LUNG,1,MAP4K4 (9448)
19,UACC62_SKIN,1,SOX10 (6663)
20,SKMEL30_SKIN,1,SOX10 (6663)
21,WM115_SKIN,1,MED1 (5469)
22,HS294T_SKIN,2,SWI5 (375757)
23,A2058_SKIN,2,MAP4K4 (9448)
24,C32_SKIN,2,SOX10 (6663)
25,143B_BONE,2,ANOS1 (3730)
26,CJM_SKIN,2,AMY1A (276)
27,COLO679_SKIN,2,KDM7A (80853)
28,EKVX_LUNG,2,AMY1A (276)
29,EPLC272H_LUNG,2,PSG7 (5676)
30,UACC62_SKIN,2,PSG7 (5676)
31,SKMEL30_SKIN,2,MAP4K4 (9448)
32,WM115_SKIN,2,HNF1B (6928)
33,HS294T_SKIN,3,HNF1B (6928)
34,A2058_SKIN,3,SWI5 (375757)
35,C32_SKIN,3,AMY1A (276)
36,143B_BONE,3,MAP4K4 (9448)
37,CJM_SKIN,3,SWI5 (375757)
38,COLO679_SKIN,3,F8A1 (8263)
39,EKVX_LUNG,3,ANOS1 (3730)
40,EPLC272H_LUNG,3,ANOS1 (3730)
41,UACC62_SKIN,3,ANOS1 (3730)
42,SKMEL30_SKIN,3,KDM7A (80853)
43,WM115_SKIN,3,NRAS (4893)
44,HS294T_SKIN,4,AMY1A (276)
45,A2058_SKIN,4,KDM7A (80853)
46,C32_SKIN,4,KDM7A (80853)
47,143B_BONE,4,HNF1B (6928)
48,CJM_SKIN,4,MAP4K4 (9448)
49,COLO679_SKIN,4,ANOS1 (3730)
50,EKVX_LUNG,4,MED1 (5469)
51,EPLC272H_LUNG,4,NRAS (4893)
52,UACC62_SKIN,4,KDM7A (80853)
53,SKMEL30_SKIN,4,ANOS1 (3730)
54,WM115_SKIN,4,SWI5 (375757)
55,HS294T_SKIN,5,ANOS1 (3730)
56,A2058_SKIN,5,AMY1A (276)
57,C32_SKIN,5,PSG7 (5676)
58,143B_BONE,5,SWI5 (375757)
59,CJM_SKIN,5,HNF1B (6928)
60,COLO679_SKIN,5,HNF1B (6928)
61,EKVX_LUNG,5,SWI5 (375757)
62,EPLC272H_LUNG,5,SWI5 (375757)
63,UACC62_SKIN,5,AMY1A (276)
64,SKMEL30_SKIN,5,SWI5 (375757)
65,WM115_SKIN,5,MAP4K4 (9448)
66,HS294T_SKIN,6,PSG7 (5676)
67,A2058_SKIN,6,PSG7 (5676)
68,C32_SKIN,6,SWI5 (375757)
69,143B_BONE,6,KDM7A (80853)
70,CJM_SKIN,6,KDM7A (80853)
71,COLO679_SKIN,6,SOX10 (6663)
72,EKVX_LUNG,6,MAP4K4 (9448)
73,EPLC272H_LUNG,6,KDM7A (80853)
74,UACC62_SKIN,6,SWI5 (375757)
75,SKMEL30_SKIN,6,MED1 (5469)
76,WM115_SKIN,6,KDM7A (80853)
77,HS294T_SKIN,7,NRAS (4893)
78,A2058_SKIN,7,ANOS1 (3730)
79,C32_SKIN,7,NRAS (4893)
80,143B_BONE,7,NRAS (4893)
81,CJM_SKIN,7,NRAS (4893)
82,COLO679_SKIN,7,AMY1A (276)
83,EKVX_LUNG,7,KDM7A (80853)
84,EPLC272H_LUNG,7,MED1 (5469)
85,UACC62_SKIN,7,MAP4K4 (9448)
86,SKMEL30_SKIN,7,PSG7 (5676)
87,WM115_SKIN,7,AMY1A (276)
88,HS294T_SKIN,8,MED1 (5469)
89,A2058_SKIN,8,NRAS (4893)
90,C32_SKIN,8,ANOS1 (3730)
91,143B_BONE,8,MED1 (5469)
92,CJM_SKIN,8,MED1 (5469)
93,COLO679_SKIN,8,NRAS (4893)
94,EKVX_LUNG,8,NRAS (4893)
95,EPLC272H_LUNG,8,HNF1B (6928)
96,UACC62_SKIN,8,NRAS (4893)
97,SKMEL30_SKIN,8,AMY1A (276)
98,WM115_SKIN,8,ANOS1 (3730)
99,HS294T_SKIN,9,MAP4K4 (9448)
100,A2058_SKIN,9,HNF1B (6928)
101,C32_SKIN,9,HNF1B (6928)
102,143B_BONE,9,SOX10 (6663)
103,CJM_SKIN,9,SOX10 (6663)
104,COLO679_SKIN,9,MAP4K4 (9448)
105,EKVX_LUNG,9,SOX10 (6663)
106,EPLC272H_LUNG,9,SOX10 (6663)
107,UACC62_SKIN,9,HNF1B (6928)
108,SKMEL30_SKIN,9,HNF1B (6928)
109,WM115_SKIN,9,PSG7 (5676)
